,comment,star,date,,상품 링크
134,여자 164 보통 체형인데 L 사이즈 시키니까 딱 좋아요~ 붙는 걸 싫어해서 적당히 캐주얼하게 입을 수 있을거 같아요! 그리고 목도 그렇게 늘어날것 같지 않게 생겨서 좋습니다~,5,22.06.24.,,
135,항상감사합니다 ㅎㅎ,5,22.06.28.,,
136,항상감사합니다 ㅎㅎ,5,22.06.28.,,
137,항상감사합니다 ㅎㅎ,5,22.06.28.,,
138,"배송이빨라서너무좋아요..
보이즈티도 이가격에는절대못사요..
너무좋아용^^",5,22.06.12.,,
139,"성인 남자가 입기엔 확실히 작네요.
어깨 부분이 끼는 핏.
95-100 정도 입는 분들한텐 나름 괜찮지만 핏이 약간 끼어요. 제품 다 정품같고 좋았는데 회색 색상엔 누가 입던걸 반품한 걸 보냈는지 팔 부분에 여자 화장품 같은데 묻어있네요.",3,22.05.26.,,
140,"키166, 몸무게 61, 평소 사이즈 66인데 편안하게 잘 맞아요.
아이 등원시킬때 편하게 입을 옷이 필요했는데 손이 자주 가서 교복처럼 입고 있어요.
리뷰에 목 늘어짐이 있다고 해서 한 철 입고 말지 했는데 교복처럼 입어 자주 빨고, 건조기 돌렸는데 아직까지는 괜찮아요.",5,22.05.26.,,
141,목부분이 안늘어나요! 약간 .. 면티 보다는 스포츠티셔츠 재질이라 그런가봐요 우먼스는 면티라 목부분이 쪼글쪼글해졌는데 이건 짱짱해서 좋아요!,5,22.06.27.,,
142,키 155에 50키로인데 엠시켰더니 딱이에요,5,22.06.07.,,
143,생각보다 커서 놀랐어요..,5,22.07.15.,,
144,연청이랑 입으면 잘 어울려요,5,22.06.25.,,
145,키155 50키로 인데 예쁘게 잘맞는듯,5,22.06.08.,,
146,색감이 쨍해서 너무 예쁘영,5,22.06.11.,,
147,편하고 너무 좋아요,5,22.07.14.,,
148,"남자 꺼는 살짝 오버핏인데 
보이즈는 딱 몸에 맞게 이쁘에요",5,22.06.20.,,
149,"남자 꺼는 살짝 오버핏인데 
보이즈는 딱 몸에 맞게 이쁘에요",5,22.06.20.,,
150,배송 빠르고 좋아요ㅎㅎㅎ,5,22.06.25.,,
151,핑크보다는 찐보라에가까워요 배송진짜빨라요,5,22.06.16.,,
152,색상 너무이쁘고 파랑의 정석이에요  여름에 세탁해도 속건인지 빨리마르고 목도 안늘어남  갓폴로죠,5,22.06.10.,,
153,갖고있는 같은 사이즈 보이즈 티셔츠보다 커요. 색상별로 차이가 있는 듯 한데 만족합니다.,5,22.06.07.,,
154,"라지로 샀는데 m사이즈 같아요
색상이 맘에 들고 배송도 빨라 좋았어요",5,22.06.12.,,
155,빠른배송감사합니다~,5,22.07.13.,,
156,빠른배송감사합니다~,5,22.07.13.,,
157,빠른배송감사합니다~,5,22.07.13.,,
158,첨 착용했을땐 몰랐는데 한번 입었는데 목 카라있는곳 박음질이 넘 허술한지 실이 풀렸어요ㅠㅠ 얼마나 민망했는지ㅠㅠ 실을 어디서 구할수도ㅠ없고 밖에는 못입고 나가고 집에서 입어야겠어요,3,22.06.20.,,
159,조아요오유. 어아아어,5,22.06.17.,,
160,"여자 M 정사이즈로 맞는데, 보이즈 M도 비슷하게 딱 맞아요! 저 어깨 쬐금 넓은 편인데 어깨선에 딱 맞아용",5,22.06.09.,,
161,"남자 90~95사이즈 중간정도 되어 보입니다.
너무 크지 않게 편하게 맞아서 좋습니다",5,22.07.07.,,
162,배송 빠르게 잘왔어요.,5,22.07.15.,,
163,키 155에 50키로 인데 딱 맞아요,5,22.06.07.,,
164,키 155에 50키로 인데 딱 맞아요,5,22.06.07.,,
